exchange_token,trading_symbol,company_name,close_price,expiry,strike,tick_size,lot_size,instrument_name,option_type,segment,exchange,fin_instrm_pdct_tp_cd,asset_code
13637,JMFINANCIL-EQ,JM FINANCIAL LIMITED,107.09,,0.0000,0.0100,1,EQ,,EQ,NSE,,
27441,935TSI34-N0,TSI 9.35% 34 SR I-H,104641.89,,0.0000,0.0100,1,N0,,N0,NSE,,
19821,9PEL25-N0,SEC RE NCD 9.00% SR I,1010,,0.0000,0.0100,1,N0,,N0,NSE,,
14351,769AP43-SG,SDL AP 7.69% 2043,0,,0.0000,0.0100,100,SG,,SG,NSE,,
11596,LINCOLN-EQ,LINCOLN PHARMA LTD,678.85,,0.0000,0.0500,1,EQ,,EQ,NSE,,
15347,GSS-EQ,GSS INFOTECH LIMITED,51.75,,0.0000,0.0100,1,EQ,,EQ,NSE,,
19522,77BR31-SG,SDL BR 7.7% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
16805,74MP34-SG,SDL MP 7.4% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
23676,747TS36-SG,SDL TS 7.47% 2036,0,,0.0000,0.0100,100,SG,,SG,NSE,,
27186,71TN32A-SG,SDL TN 7.1% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
22199,810JH32-SG,SDL JH 8.10% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
12913,SARVESHWAR-EQ,SARVESHWAR FOODS LIMITED,7.83,,0.0000,0.0100,1,EQ,,EQ,NSE,,
25320,INNOMET-SM,INNOMET ADVANCED MATERI L,160,,0.0000,0.0500,1200,SM,,SM,NSE,,
25054,VDEAL-SM,VDEAL SYSTEM LIMITED,143.5,,0.0000,0.0500,1200,SM,,SM,NSE,,
20372,FLAIR-EQ,FLAIR WRITING INDUST LTD,233.4,,0.0000,0.0500,1,EQ,,EQ,NSE,,
23088,729PY26-SG,SDL PY 7.29% 2026,0,,0.0000,0.0100,100,SG,,SG,NSE,,
3058,618GJ26-SG,SDL GJ 6.18% 2026,0,,0.0000,0.0100,100,SG,,SG,NSE,,
1757,665PN50A-SG,SDL PN 6.65% 2050,0,,0.0000,0.0100,100,SG,,SG,NSE,,
29096,830TPL28-N0,TPL 8.30% 2028 SR U,0,,0.0000,0.0100,1,N0,,N0,NSE,,
4883,695MH32-SG,SDL MH 6.95% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
26036,Nifty Consumption,,0,,0.0000,0.0000,0,,,INDICES,NSE,,
11513,785BR32-SG,SDL BR 7.85% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
772,DABUR-EQ,DABUR INDIA LTD,525.35,,0.0000,0.0500,1,EQ,,EQ,NSE,,
8331,717RJ32-SG,SDL RJ 7.17% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
314,696JK35-SG,SDL JK 6.96% 2035,0,,0.0000,0.0100,100,SG,,SG,NSE,,
10610,USASEEDS-SM,UPSURGE SEEDS OF AGRI LTD,204,,0.0000,0.0500,300,SM,,SM,NSE,,
20141,BABAFP-SM,BABA FOOD PROCESSING,54.3,,0.0000,0.0500,1600,SM,,SM,NSE,,
14966,CSBBANK-EQ,CSB BANK LIMITED,304.85,,0.0000,0.0500,1,EQ,,EQ,NSE,,
149,SGBSEP28VI-GB,2.50%GOLDBONDS2028SR-VI,8209.71,,0.0000,0.0100,1,GB,,GB,NSE,,
14529,769NHAI31-NE,TAX FREE 7.69% SR. IIB,1120,,0.0000,0.0100,1,NE,,NE,NSE,,
18124,DBREALTY-EQ,VALOR ESTATE LIMITED,156.56,,0.0000,0.0100,1,EQ,,EQ,NSE,,
24330,737AP33A-SG,SDL AP 7.37% 2033,0,,0.0000,0.0100,100,SG,,SG,NSE,,
20222,767KA36-SG,SDL KA 7.67% 2036,0,,0.0000,0.0100,100,SG,,SG,NSE,,
2885,RELIANCE-EQ,RELIANCE INDUSTRIES LTD,1234.4,,0.0000,0.0500,1,EQ,,EQ,NSE,,
3070,68KL31-SG,SDL KL 6.8% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
21024,980SCL33D-YG,SEC RE NCD 9.71% SR VIII,0,,0.0000,0.0100,1,YG,,YG,NSE,,
25840,7712TCHF28-N0,TCHFL 7.712% 2028 SR D,0,,0.0000,0.0100,1,N0,,N0,NSE,,
21138,688AP34-SG,SDL AP 6.88% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
11251,PERFECT-ST,PERFECT INFRAENGINEER LTD,16.45,,0.0000,0.0500,3000,ST,,ST,NSE,,
22369,65GA30A-SG,SDL GA 6.5% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
5559,70MZ34-SG,SDL MZ 7.0% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
18632,879SCL26-NC,UNS RED NCD 8.79% SR.VIII,0,,0.0000,0.0100,1,NC,,NC,NSE,,
2988,SANDESH-EQ,SANDESH LTD,1390.8,,0.0000,0.0500,1,EQ,,EQ,NSE,,
